,0
0,0.54311764
1,2.9411583
2,9.568805
3,-0.19824402
4,1.7536169
5,-1.5975033
6,-0.5382329
7,1.4274459
8,-12.439414
9,37.075214
10,1.6770836
11,0.47228435
12,1.0796802
13,-0.32430503
14,7.4261794
15,0.26081654
16,-0.108481206
17,-1.4184967
18,0.4675662
19,0.31364986
20,3.9585392
21,-46.19046
22,-0.19831994
23,4.4764256
24,-1.4737451
25,1.790298
26,0.05527538
27,-0.18959022
28,0.22166035
29,2.1001134
30,0.043420233
31,-0.18074875
32,-17.866446
33,0.22575213
34,-0.40672097
35,-0.34241062
36,0.48956305
37,0.8731054
38,0.15593398
39,-1.5399586
40,0.17858826
41,-5.8191977
42,1.719581
43,-0.6204007
44,17.409111
45,0.165373
46,1.6256379
47,-5.4673753
48,-2.311361
49,-4.321267
50,1.758378
51,-13.110024
52,-1.3000025
53,-0.4495531
54,-5.6120787
55,-0.31158158
56,1.4891157
57,6.326467
58,-9.288115
59,11.783824
60,1.9361291
61,-19.079607
62,0.02365474
63,-5.4089603
