,0
0,0.32769698
1,0.124311574
2,0.20001225
3,-0.11628226
4,0.006562591
5,-0.015732931
6,-0.035657287
7,0.1852575
8,-0.18328495
9,0.15236573
10,0.28545657
11,0.18093382
12,0.075656526
13,-0.28838003
14,0.086404316
15,0.032149564
16,-0.019338222
17,-0.3603089
18,0.022853918
19,0.027313137
20,0.11891379
21,-0.057223756
22,-0.14125358
23,0.06339499
24,-0.22653398
25,0.2029818
26,0.0008852725
27,-0.0057440777
28,0.067431636
29,0.5400358
30,0.013732717
31,-0.12765914
32,-0.72679263
33,0.02972511
34,-0.03742775
35,-0.086561404
36,0.013561799
37,0.55148005
38,0.12755604
39,-0.12695466
40,0.0031445506
41,-0.6791906
42,0.058642596
43,-0.14948028
44,0.040469196
45,0.019659203
46,0.41104466
47,-0.033773027
48,-0.24068847
49,-0.16187862
50,0.23446901
51,-0.1579131
52,-0.4778361
53,-0.17952994
54,-0.11454129
55,-0.07666081
56,0.15105233
57,0.031165846
58,-0.29269552
59,0.1854577
60,0.21912996
61,-0.14722118
62,0.00796196
63,-0.351673
